CPUNames,ReleaseDates
Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz,Q2 2019
Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz,Q4 2017
Intel(R) Core(TM) i5-8400H CPU @ 2.50GHz,Q2 2018
Intel(R) Core(TM) i5-8400T CPU @ 1.70GHz,Q2 2018
Intel(R) Core(TM) i5-8500 CPU @ 3.00GHz,Q2 2018
Intel(R) Core(TM) i5-8500T CPU @ 2.10GHz,Q2 2018
Intel(R) Core(TM) i5-8600 CPU @ 3.10GHz,Q2 2018
Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,Q2 2019
Intel(R) Core(TM) i5-9400 CPU @ 2.90GHz,Q1 2019
Intel(R) Core(TM) i5-9400T CPU @ 1.80GHz,Q2 2019
Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,Q2 2019
Intel(R) Core(TM) i5-9500T CPU @ 2.20GHz,Q2 2019
Intel(R) Core(TM) i7 CPU         860  @ 2.80GHz,Q3 2009
Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,Q3 2019
Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,Q2 2020
Intel(R) Core(TM) i7-1065G7 CPU @ 1.30GHz,Q3 2019
Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz,Q2 2020
Intel(R) Core(TM) i7-10700F CPU @ 2.90GHz,Q2 2020
Intel(R) Core(TM) i7-10700K CPU @ 3.80GHz,Q2 2020
Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz,Q2 2020
Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,Q2 2020
Intel(R) Core(TM) i7-10850H CPU @ 2.70GHz,Q2 2020
Intel(R) Core(TM) i7-10870H CPU @ 2.20GHz,Q3 2020
Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz,Q1 2011
Intel(R) Core(TM) i7-3667U CPU @ 2.00GHz,Q2 2012
Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz,Q2 2012
Intel(R) Core(TM) i7-4600U CPU @ 2.10GHz,Q3 2013
Intel(R) Core(TM) i7-4700MQ CPU @ 2.40GHz,Q2 2013
Intel(R) Core(TM) i7-4710MQ CPU @ 2.50GHz,Q2 2014
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz,Q1 2015
Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz,Q2 2013
Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz,Q2 2014
Intel(R) Core(TM) i7-4790K CPU @ 4.00GHz,Q2 2014
Intel(R) Core(TM) i7-5500U CPU @ 2.40GHz,Q1 2015
Intel(R) Core(TM) i7-5600U CPU @ 2.60GHz,Q1 2015
Intel(R) Core(TM) i7-5820K CPU @ 3.30GHz,Q3 2014
Intel(R) Core(TM) i7-6500U CPU @ 2.50GHz,Q3 2015
Intel(R) Core(TM) i7-6600U CPU @ 2.60GHz,Q3 2015
Intel(R) Core(TM) i7-6650U CPU @ 2.20GHz,Q3 2015
Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,Q3 2015
Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz,Q3 2015
Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz,Q3 2015
Intel(R) Core(TM) i7-6700T CPU @ 2.80GHz,Q3 2015
Intel(R) Core(TM) i7-6770HQ CPU @ 2.60GHz,Q1 2016
Intel(R) Core(TM) i7-6820HQ CPU @ 2.70GHz,Q3 2015
Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,Q3 2016
Intel(R) Core(TM) i7-7600U CPU @ 2.80GHz,Q3 2016
Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,Q1 2017
Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,Q1 2017
Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,Q1 2017
Intel(R) Core(TM) i7-7700T CPU @ 2.90GHz,Q1 2017
Intel(R) Core(TM) i7-7820HQ CPU @ 2.90GHz,Q1 2017
Intel(R) Core(TM) i7-8086K CPU @ 4.00GHz,Q2 2018
Intel(R) Core(TM) i7-8500Y CPU @ 1.50GHz,Q1 2019
Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz,Q3 2017
Intel(R) Core(TM) i7-8565U CPU @ 1.80GHz,Q3 2018
Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,Q3 2017
